s_id,a_id,x,y
1,-2,-1906.18,-252.68
1,-7,1969.53,-1196.89
1,-9,2264.14,351.92
1,-10,-1839.7,-172.39
1,-18,-3322.77,1976.17
1,-19,1637.17,-3794.14
1,-20,-1583.58,-787.56
1,-21,1512.87,-4037.52
1,-25,-2793.03,1489.21
1,-26,-2619.32,1002.94
1,-27,-2831.05,1661.49
1,-29,-2352.84,1199.42
1,-33,-1457.31,272.85
1,-36,-1154.97,-1127.76
1,-46,-1923.18,1474.46
1,-49,-2427.92,1370.14
1,-54,-1511.62,1759.27
1,-59,3152.41,-282.43
1,-65,-2269.05,1275.39
1,-85,1321.18,-3891.71
1,-86,911.78,349.51
1,-90,185.92,-1630.52
1,-92,-1806.68,-182.54
1,-103,825.07,-1250.49
1,-105,-806.41,-39.14
1,-108,-2657.34,1871.15
1,-118,-822.87,-23.5
1,-122,1683.11,612.24
1,-123,-3511.62,2879.96
1,-129,1500.58,78.42
1,-136,-2409.27,2400.25
1,-137,172.48,-2862.32
1,-140,440.76,-2691.38
1,-142,-466.08,-2204.25
1,-147,85.23,-1218.65
2,-1,1906.18,252.68
2,-7,3875.7,-944.21
2,-9,4170.31,604.6
2,-10,66.48,80.29
2,-18,-1416.59,2228.84
2,-20,322.6,-534.89
2,-24,-2117.45,-3647.88
2,-25,-886.85,1741.89
2,-26,-713.14,1255.61
2,-27,-924.87,1914.16
2,-29,-446.67,1452.09
2,-33,448.87,525.53
2,-36,751.2,-875.09
2,-37,-2107.59,-3538.77
2,-46,-17,1727.13
2,-49,-521.74,1622.82
2,-54,394.56,2011.94
2,-65,-362.87,1528.06
2,-86,2817.96,602.19
2,-90,2092.1,-1377.84
2,-92,99.5,70.13
2,-103,2731.25,-997.82
2,-105,1099.77,213.54
2,-107,-3174.07,2793.88
2,-108,-751.16,2123.82
2,-110,-2939.8,3178.3
2,-118,1083.31,229.17
2,-120,-2830.62,2715.9
2,-122,3589.29,864.92
2,-123,-1605.44,3132.63
2,-129,3406.76,331.09
2,-136,-503.09,2652.93
2,-137,2078.66,-2609.64
2,-140,2346.94,-2438.71
2,-142,1440.1,-1951.57
2,-147,1991.41,-965.97
3,-6,-1865.8,-2052.56
3,-16,924.14,-3220.05
3,-47,-3123.95,-1969.91
3,-48,-1408.12,1399.14
3,-50,-105.84,1156.41
3,-61,-2270.43,-681.85
3,-63,-4053.99,-1072.23
3,-69,-1745.16,-2530.1
3,-82,873.84,-3110.74
3,-91,163.36,-490.62
3,-100,-1678.38,524.13
3,-101,-477.28,-3551.49
3,-102,-311.63,528.72
3,-104,-679.74,229.21
3,-106,236.65,-125.34
3,-109,-2037.5,-1461.35
3,-117,-3999.18,-559.06
3,-127,-1255.14,1682.42
3,-139,-849.2,385.44
3,-143,-725.41,-3850.37
3,-149,-1007.28,-3778.91
3,-150,751.71,-643.99
3,-154,354.46,1129.76
3,-158,-1242.27,-122.59
3,-163,-468.24,-123.77
4,-12,-1197.73,597.21
4,-13,-3025.11,1107.04
4,-17,-551.79,389.7
4,-28,-2904.94,3239.21
4,-30,-1317.67,404.79
4,-43,-1156.36,606.89
4,-53,-2496.24,1101.21
4,-58,-3307.97,2596.43
4,-70,-580.09,215.66
4,-77,-1508.12,3064.85
4,-79,-3064.93,1040.87
4,-97,-4041.45,360.12
4,-116,-868.47,471.58
4,-124,-2562.09,1114.99
4,-134,-224.81,1524.52
4,-141,-388.98,298.37
4,-144,-3699.81,1971.78
4,-165,-3313.61,2741.43
5,-14,624.85,-599.17
5,-15,-2406.67,17.87
5,-16,-2635.45,1524.46
5,-28,1860.63,-2410.71
5,-34,208.47,212.51
5,-38,-1258.54,-1802.85
5,-55,-1624.24,-3959.64
5,-58,1457.59,-3053.48
5,-66,2786.38,-1446.08
5,-67,-1064.09,-2031.02
5,-68,-141.82,-1758.69
5,-71,597.01,-2733.72
5,-77,3257.44,-2585.07
5,-82,-2685.76,1633.76
5,-88,242.7,-901.52
5,-94,3611.99,-658.9
5,-95,1798.31,-408.81
5,-96,-875.78,-1999.44
5,-99,-1479.14,-1821.95
5,-101,-4036.87,1193.02
5,-119,-1410.12,-1853.8
5,-121,-812.68,-1695.03
5,-131,-560.11,-169.5
5,-143,-4285,894.14
5,-144,1065.75,-3678.13
5,-145,-439.1,-2452.98
5,-151,97.14,-2789.22
5,-155,-1353.65,-1305.92
5,-156,1538.27,-1835.62
5,-161,-1236.59,-2232.2
5,-165,1451.95,-2908.49
6,-3,1865.8,2052.56
6,-15,3018.73,-2674.07
6,-16,2789.95,-1167.49
6,-23,-4349.46,-678.94
6,-47,-1258.15,82.66
6,-48,457.68,3451.71
6,-50,1759.96,3208.97
6,-61,-404.63,1370.71
6,-63,-2188.19,980.34
6,-69,120.64,-477.54
6,-82,2739.64,-1058.18
6,-91,2029.17,1561.94
6,-100,187.43,2576.69
6,-101,1388.52,-1498.93
6,-102,1554.17,2581.29
6,-104,1186.06,2281.77
6,-106,2102.45,1927.23
6,-109,-171.7,591.21
6,-117,-2133.38,1493.5
6,-127,610.66,3734.98
6,-130,-3401.37,-2014.05
6,-139,1016.6,2438.01
6,-143,1140.39,-1797.8
6,-149,858.52,-1726.34
6,-150,2617.51,1408.57
6,-154,2220.26,3182.32
6,-158,623.54,1929.97
6,-159,-772.78,-2198.15
6,-163,1397.56,1928.8
7,-1,-1969.53,1196.89
7,-2,-3875.7,944.21
7,-9,294.61,1548.81
7,-10,-3809.22,1024.5
7,-19,-332.36,-2597.25
7,-20,-3553.11,409.32
7,-21,-456.65,-2840.64
7,-33,-3426.84,1469.74
7,-36,-3124.5,69.12
7,-59,1182.88,914.46
7,-73,609.69,-4136.25
7,-75,732.13,-3957.36
7,-85,-648.35,-2694.83
7,-86,-1057.74,1546.4
7,-89,-2194.55,-3606.04
7,-90,-1783.6,-433.63
7,-92,-3776.21,1014.35
7,-103,-1144.46,-53.61
7,-105,-2775.93,1157.75
7,-111,377.2,-3663.25
7,-112,1655.09,-2500.71
7,-118,-2792.4,1173.38
7,-122,-286.42,1809.13
7,-125,-2080.46,-3743.86
7,-129,-468.95,1275.3
7,-137,-1797.04,-1665.43
7,-140,-1528.77,-1494.49
7,-142,-2435.6,-1007.36
7,-147,-1884.3,-21.76
8,-11,1331.29,902.66
8,-22,-491.85,-353.25
8,-23,-515.85,-3850.5
8,-31,-3254.06,2297.7
8,-32,-3007.04,2717.01
