s_id,a_id,x,y
1001,-3,1638.21,1652.78
1001,-6,-227.59,-399.79
1001,-15,2791.14,-3073.86
1001,-16,2562.35,-1567.27
1001,-47,-1485.74,-317.13
1001,-48,230.09,3051.92
1001,-50,1532.37,2809.18
1001,-61,-632.22,970.92
1001,-63,-2415.78,580.55
1001,-69,-106.95,-877.33
1001,-82,2512.05,-1457.97
1001,-91,1801.58,1162.15
1001,-100,-40.16,2176.9
1001,-101,1160.93,-1898.72
1001,-102,1326.58,2181.5
1001,-104,958.47,1881.99
1001,-106,1874.86,1527.44
1001,-109,-399.29,191.42
1001,-117,-2360.97,1093.71
1001,-127,383.07,3335.19
1001,-130,-3628.96,-2413.84
1001,-139,789.01,2038.22
1001,-143,912.8,-2197.59
1001,-149,630.93,-2126.13
1001,-150,2389.92,1008.78
1001,-154,1992.67,2782.53
1001,-158,395.95,1530.18
1001,-159,-1000.37,-2597.94
1001,-163,1169.97,1529.01
1002,-5,-2473.34,389.95
1002,-13,-732.89,-4152.92
1002,-14,-1848.49,-209.22
1002,-28,-612.71,-2020.76
1002,-34,-2264.87,602.46
1002,-38,-3731.88,-1412.9
1002,-53,-204.02,-4158.75
1002,-58,-1015.75,-2663.53
1002,-66,313.04,-1056.12
1002,-67,-3537.43,-1641.06
1002,-68,-2615.16,-1368.74
1002,-71,-1876.33,-2343.76
1002,-77,784.1,-2195.11
1002,-79,-772.71,-4219.09
1002,-88,-2230.64,-511.57
1002,-94,1138.65,-268.95
1002,-95,-675.03,-18.86
1002,-96,-3349.12,-1609.49
1002,-99,-3952.48,-1431.99
1002,-119,-3883.46,-1463.85
1002,-121,-3286.02,-1305.07
1002,-124,-269.86,-4144.97
1002,-131,-3033.45,220.45
1002,-134,2067.41,-3735.44
1002,-144,-1407.59,-3288.18
1002,-145,-2912.44,-2063.02
1002,-151,-2376.2,-2399.27
1002,-155,-3826.99,-915.97
1002,-156,-935.07,-1445.67
1002,-161,-3709.93,-1842.25
1002,-165,-1021.39,-2518.53
1007,-8,3696.21,560.29
1007,-22,3204.36,207.04
1007,-31,442.16,2857.99
1007,-32,689.17,3277.3
1007,-35,3579.43,780.38
1007,-39,2480.35,1578.32
1007,-40,1656.89,50.48
1007,-41,2708.57,607.11
1007,-42,561.22,2927.63
1007,-44,4070.62,1788.77
1007,-51,2365.24,1069.64
1007,-52,-1104.78,4311.71
1007,-56,1591.27,2337.99
1007,-62,1286.04,2153.31
1007,-64,2335.19,921.45
1007,-72,1939.56,743.24
1007,-78,-909.94,-3923.14
1007,-81,1268.26,-896.23
1007,-83,2752.94,2326.19
1007,-84,917.3,2595.61
1007,-87,290.06,193.94
1007,-93,2408.95,1310.06
1007,-98,1715.97,1588.68
1007,-128,1153.95,1977.23
1007,-132,2558.93,1734.16
1007,-133,-241.81,3554.7
1007,-148,-182.14,579.18
1007,-153,-370.77,3926.63
1007,-157,1837.58,2347.68
1007,-162,3176.98,1074.1
1007,-164,1686.51,1447.08
1007,-166,2019.76,2495.32
1015,-45,528.79,-318.9
1015,-57,451.86,-405.82
1015,-74,831.93,-593.28
1015,-114,1187.93,-1264.46
1015,-115,-460.68,814.07
1015,-126,452.16,-200.61
1015,-135,325.62,-106.59
1015,-138,3049.06,-2107.23
1015,-146,619.55,-309.26
1015,-152,3735.43,-2141.87
1015,-160,954.76,-1011.22
1018,-19,-2013.94,3692.1
1018,-21,-2138.23,3448.72
1018,-22,3674.49,-2444.77
1018,-31,912.29,206.18
1018,-32,1159.3,625.49
1018,-35,4049.56,-1871.43
1018,-39,2950.48,-1073.48
1018,-40,2127.02,-2601.32
1018,-41,3178.7,-2044.7
1018,-42,1031.35,275.83
1018,-51,2835.37,-1582.16
1018,-52,-634.65,1659.9
1018,-56,2061.4,-313.82
1018,-62,1756.17,-498.5
1018,-64,2805.32,-1730.36
1018,-72,2409.69,-1908.56
1018,-73,-1071.89,2153.11
1018,-75,-949.45,2332
1018,-81,1738.39,-3548.04
1018,-83,3223.07,-325.61
1018,-84,1387.43,-56.19
1018,-85,-2329.93,3594.53
1018,-87,760.19,-2457.87
1018,-93,2879.08,-1341.74
1018,-98,2186.1,-1063.12
1018,-111,-1304.38,2626.11
1018,-112,-26.49,3788.65
1018,-125,-3762.04,2545.5
1018,-128,1624.08,-674.57
1018,-132,3029.06,-917.65
1018,-133,228.32,902.89
1018,-148,287.99,-2072.63
1018,-153,99.36,1274.83
1018,-157,2307.71,-304.13
1018,-162,3647.11,-1577.71
1018,-164,2156.64,-1204.73
1018,-166,2489.88,-156.49
1020,-4,2273.98,-2276.49
1020,-5,-2491.58,3373.43
1020,-12,1076.25,-1679.28
1020,-13,-751.13,-1169.44
1020,-14,-1866.73,2774.26
1020,-17,1722.19,-1886.78
1020,-28,-630.95,962.72
1020,-30,956.31,-1871.7
1020,-34,-2283.11,3585.94
1020,-38,-3750.12,1570.58
1020,-43,1117.62,-1669.6
1020,-53,-222.26,-1175.28
1020,-55,-4115.82,-586.21
1020,-58,-1033.99,319.95
1020,-66,294.8,1927.35
1020,-67,-3555.67,1342.41
1020,-68,-2633.4,1614.73
1020,-70,1693.9,-2060.83
1020,-71,-1894.56,639.71
1020,-77,765.87,788.36
1020,-79,-790.95,-1235.62
1020,-88,-2248.88,2471.91
1020,-94,1120.41,2714.53
1020,-95,-693.27,2964.61
1020,-96,-3367.35,1373.99
1020,-97,-1767.47,-1916.36
1020,-99,-3970.72,1551.48
1020,-116,1405.51,-1804.91
1020,-119,-3901.7,1519.63
1020,-121,-3304.26,1678.4
1020,-124,-288.1,-1161.5
1020,-131,-3051.69,3203.93
1020,-134,2049.17,-751.97
1020,-141,1885.01,-1978.12
1020,-144,-1425.83,-304.71
1020,-145,-2930.68,920.45
1020,-151,-2394.44,584.21
1020,-155,-3845.23,2067.51
1020,-156,-953.31,1537.8
1020,-161,-3728.17,1141.22
1020,-165,-1039.63,464.94
1020,-167,-2656.04,-3070.44
1022,-1,-3689.06,48.87
1022,-7,-1719.54,-1148.02
1022,-9,-1424.93,400.79
1022,-19,-2051.9,-3745.27
1022,-59,-536.66,-233.56
1022,-85,-2367.89,-3842.85
1022,-86,-2777.28,398.38
1022,-90,-3503.14,-1581.65
1022,-103,-2864,-1201.63
1022,-105,-4495.47,9.73
1022,-112,-64.45,-3648.73
1022,-118,-4511.94,25.36
1022,-122,-2005.96,661.11
1022,-129,-2188.48,127.28
1022,-137,-3516.58,-2813.45
1022,-140,-3248.31,-2642.51
1022,-147,-3603.84,-1169.78
1023,-12,4138.23,1032.81
1023,-13,2310.84,1542.65
1023,-28,2431.02,3674.81
1023,-30,4018.29,840.39
1023,-38,-688.14,4282.67
1023,-43,4179.6,1042.49
1023,-53,2839.72,1536.82
1023,-55,-1053.84,2125.88
1023,-58,2027.99,3032.04
1023,-67,-493.69,4054.5
1023,-68,428.58,4326.83
1023,-71,1167.41,3351.8
1023,-79,2271.03,1476.47
1023,-96,-305.38,4086.08
1023,-97,1294.51,795.73
1023,-99,-908.74,4263.57
1023,-113,-1417.86,1684.34
1023,-119,-839.72,4231.72
1023,-121,-242.29,4390.49
1023,-124,2773.87,1550.59
1023,-144,1636.14,2407.39
1023,-145,131.3,3632.54
1023,-151,667.54,3296.3
1023,-161,-666.2,3853.32
1023,-165,2022.35,3177.03
1023,-167,405.93,-358.34
1025,-1,3614.94,-2054.63
1025,-2,1708.76,-2307.31
1025,-10,1775.24,-2227.02
1025,-18,292.17,-78.47
1025,-20,2031.36,-2842.2
1025,-25,821.91,-565.42
1025,-26,995.62,-1051.7
1025,-27,783.89,-393.15
1025,-29,1262.1,-855.22
1025,-33,2157.63,-1781.78
1025,-36,2459.97,-3182.4
1025,-46,1691.76,-580.18
1025,-49,1187.02,-684.49
1025,-54,2103.32,-295.37
1025,-65,1345.89,-779.25
1025,-76,-1378.79,1180.89
1025,-92,1808.26,-2237.18
1025,-105,2808.53,-2093.77
1025,-107,-1465.3,486.57
1025,-108,957.6,-183.49
1025,-110,-1231.04,870.99
1025,-118,2792.07,-2078.14
